"Observations ","Network ","Month ","Day ","Rating","Fact ","Stars ","Previous rating  ","Competition "
1,"BBS",1,1,15.6,0,1,14.2,14.5
2,"BBS",1,7,10.8,1,0,15.3,17.2
3,"BBS",1,7,14.1,0,1,13.8,14.4
4,"BBS",1,1,16.8,1,1,12.8,15.3
5,"BBS",2,1,14.3,1,1,12.4,13.3
6,"BBS",2,1,17.1,1,1,12.9,15.1
7,"BBS",3,1,8.9,0,0,10.8,14.9
8,"BBS",3,7,16.2,1,0,13.3,11.6
9,"BBS",4,7,9.4,0,1,12.3,12.8
10,"BBS",5,1,10.2,0,1,10.7,15.6
11,"BBS",5,7,9.4,0,0,10.7,14.5
12,"BBS",5,1,12.1,0,1,10.1,15.6
13,"BBS",5,1,10.7,1,0,8.6,17.0
14,"BBS",9,7,15.0,1,0,9.8,8.2
15,"BBS",9,7,10.2,0,0,11.7,13.5
16,"BBS",9,7,10.3,0,1,10.1,15.2
17,"BBS",10,7,10.8,0,1,10.9,13.1
18,"BBS",10,7,14.4,1,0,15.9,12.6
19,"BBS",11,7,14.4,1,1,12.1,14.2
20,"BBS",11,7,13.6,1,0,11.4,11.9
21,"ABN",1,7,14.6,0,0,19.3,14.4
22,"ABN",1,2,10.8,0,1,16.3,15.2
23,"ABN",1,7,16.2,0,0,20.1,14.4
24,"ABN",1,2,12.8,0,0,14.8,13.1
25,"ABN",1,7,16.0,0,1,19.3,13.5
26,"ABN",2,7,18.9,0,1,17.8,13.0
27,"ABN",2,2,14.0,1,1,14.3,13.8
28,"ABN",3,7,19.5,1,1,16.2,11.8
29,"ABN",3,2,14.7,1,0,13.8,15.7
30,"ABN",3,7,16.3,0,1,18.0,11.4
31,"ABN",3,7,15.8,1,0,17.7,13.3
32,"ABN",3,7,17.1,0,1,17.1,11.3
33,"ABN",3,2,11.5,0,0,13.8,13.1
34,"ABN",3,7,16.0,1,0,15.3,11.8
35,"ABN",3,2,11.7,0,1,16.6,14.3
36,"ABN",4,2,14.2,0,0,13.6,11.4
37,"ABN",4,7,11.2,0,0,14.3,14.4
38,"ABN",4,2,10.9,0,0,12.4,13.0
39,"ABN",4,7,13.3,0,1,13.1,10.1
40,"ABN",4,7,15.5,1,0,17.0,12.4
41,"ABN",4,2,16.6,1,0,13.6,11.8
42,"ABN",5,7,16.3,1,0,16.5,12.8
43,"ABN",5,7,15.8,0,1,15.7,11.3
44,"ABN",5,2,13.3,1,0,10.7,12.8
45,"ABN",9,7,15.4,0,1,17.3,10.9
46,"ABN",9,2,14.7,0,0,15.5,13.9
47,"ABN",9,7,15.5,0,0,17.4,12.6
48,"ABN",9,2,14.7,1,0,15.3,14.0
49,"ABN",10,7,15.9,1,0,18.4,10.5
50,"ABN",10,7,13.8,1,0,24.7,12.1
51,"ABN",10,2,10.0,0,1,14.2,12.9
52,"ABN",11,7,12.9,0,1,16.9,18.6
53,"ABN",11,2,15.4,1,0,15.9,12.4
54,"ABN",11,7,14.5,0,2,19.4,14.2
55,"ABN",12,7,18.8,0,2,16.7,14.7
56,"ABN",12,2,16.7,0,0,14.9,10.1
57,"ABN",12,2,12.8,0,0,16.3,12.0
58,"ABN",12,7,16.8,0,1,15.7,10.1
59,"CBC",1,7,14.0,0,1,8.2,14.8
60,"CBC",1,1,11.3,1,0,13.0,13.2
61,"CBC",1,1,13.6,0,0,13.7,15.1
62,"CBC",2,7,12.9,1,0,8.8,16.0
63,"CBC",2,1,13.2,1,0,13.1,17.0
64,"CBC",2,7,16.0,1,0,6.9,15.8
65,"CBC",2,1,14.6,1,1,13.8,17.4
66,"CBC",2,7,16.6,0,1,16.8,14.4
67,"CBC",3,1,17.5,1,0,14.8,14.2
68,"CBC",3,7,11.6,0,0,10.0,14.0
69,"CBC",4,7,8.9,0,0,8.6,13.0
70,"CBC",4,1,15.6,0,0,13.3,16.8
71,"CBC",4,7,9.2,0,1,6.8,12.1
72,"CBC",4,1,11.8,0,0,12.9,12.0
73,"CBC",4,7,11.0,0,0,5.3,14.7
74,"CBC",4,1,9.5,1,0,13.0,17.3
75,"CBC",9,7,11.6,0,0,10.1,12.8
76,"CBC",9,1,13.3,1,0,13.1,20.3
77,"CBC",9,1,13.6,1,0,14.1,18.3
78,"CBC",10,1,12.4,0,0,13.6,20.2
79,"CBC",10,1,13.8,1,0,10.2,16.6
80,"CBC",10,7,11.9,1,0,11.8,12.2
81,"CBC",10,1,14.6,0,0,14.9,14.9
82,"CBC",11,1,15.8,1,1,13.4,17.2
83,"CBC",11,1,15.4,0,1,13.6,16.8
84,"CBC",11,1,12.8,0,0,12.7,14.6
85,"CBC",12,7,12.8,0,0,12.0,18.6
86,"CBC",12,1,15.1,0,0,14.1,15.5
87,"CBC",12,1,11.4,0,1,11.2,16.4
88,"CBC",12,1,19.1,1,0,12.6,15.4
